Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
Until Friday Night (The Field Party #1),['Abbi Glines'],Â£46.31,In stock,Two,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html
This Is Where It Ends,['Marieke Nijkamp'],Â£27.12,In stock,Two,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html
The Darkest Lie,['Gena Showalter'],Â£35.35,In stock,Five,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
My Kind of Crazy,"[""Katie O'Sullivan""]",Â£40.36,In stock,One,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
Don't Get Caught,['Carter Cullen'],Â£55.35,In stock,One,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
Catching Jordan (Hundred Oaks),['Miranda Kenneally'],Â£50.83,In stock,Three,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),['Benjamin Alire Sáenz'],Â£58.14,In stock,Four,Young Adult,In stock (14 available),https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html
The Epidemic (The Program 0.6),['National Institutes of Health (U.S.). Office of the Director'],Â£14.44,In stock,Five,Young Adult,In stock (12 available),https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
Stars Above (The Lunar Chronicles #4.5),['Marissa Meyer'],Â£48.05,In stock,Two,Young Adult,In stock (12 available),https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html
No Love Allowed (Dodge Cove #1),['Kate Evangelista'],Â£54.65,In stock,Four,Young Adult,In stock (12 available),https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html
"Exit, Pursued by a Bear",[],Â£51.34,In stock,Four,Young Adult,In stock (11 available),https://books.toscrape.com/catalogue/exit-pursued-by-a-bear_591/index.html
The Alien Club,['Ray Brown'],Â£54.40,In stock,One,Young Adult,In stock (9 available),https://books.toscrape.com/catalogue/the-alien-club_569/index.html
Don't Forget Steven,['P. D. Workman'],Â£33.23,In stock,One,Young Adult,In stock (9 available),https://books.toscrape.com/catalogue/dont-forget-steven_561/index.html
South of Sunshine,['Pasquale De Marco'],Â£28.93,In stock,One,Young Adult,In stock (8 available),https://books.toscrape.com/catalogue/south-of-sunshine_544/index.html
My Life Next Door (My Life Next Door ),['Huntley Fitzpatrick'],Â£36.39,In stock,Five,Young Adult,In stock (8 available),https://books.toscrape.com/catalogue/my-life-next-door-my-life-next-door_535/index.html
Future Shock (Future Shock #1),['Alvin Toffler'],Â£55.65,In stock,Five,Young Adult,In stock (8 available),https://books.toscrape.com/catalogue/future-shock-future-shock-1_519/index.html
Nightstruck: A Novel,['Jenna Black'],Â£50.35,In stock,Four,Young Adult,In stock (7 available),https://books.toscrape.com/catalogue/nightstruck-a-novel_480/index.html
Tell the Wolves I'm Home,['Carol Rifka Brunt'],Â£50.96,In stock,Two,Young Adult,In stock (6 available),https://books.toscrape.com/catalogue/tell-the-wolves-im-home_439/index.html
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)","['John Green', 'David Levithan']",Â£47.31,In stock,Four,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/will-grayson-will-grayson-will-grayson-will-grayson_419/index.html
Where She Went (If I Stay #2),['Gayle Forman'],Â£41.73,In stock,Four,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/where-she-went-if-i-stay-2_417/index.html
Two Summers,['Aimee Friedman'],Â£14.64,In stock,One,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/two-summers_415/index.html
The Darkest Corners,['Kara Thomas'],Â£11.33,In stock,Five,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
Tell Me Three Things,['Julie Buxbaum'],Â£41.81,In stock,One,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/tell-me-three-things_395/index.html
Lola and the Boy Next Door (Anna and the French Kiss #2),['Stephanie Perkins'],Â£23.63,In stock,Four,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html
Kill the Boy Band,['Goldy Moldavsky'],Â£15.52,In stock,Five,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/kill-the-boy-band_381/index.html
Isla and the Happily Ever After (Anna and the French Kiss #3),['Stephanie Perkins'],Â£48.13,In stock,Five,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html
An Abundance of Katherines,['John Green'],Â£10.00,In stock,Five,Young Adult,In stock (5 available),https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),['Patrick Keating'],Â£24.17,In stock,Four,Young Adult,In stock (4 available),https://books.toscrape.com/catalogue/harry-potter-and-the-prisoner-of-azkaban-harry-potter-3_328/index.html
Walk the Edge (Thunder Road #2),['Katie McGarry'],Â£32.36,In stock,Three,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/walk-the-edge-thunder-road-2_300/index.html
Two Boys Kissing,['David Levithan'],Â£32.74,In stock,Two,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/two-boys-kissing_294/index.html
The New Guy (and Other Senior Year Distractions),['Amy Spalding'],Â£44.92,In stock,Three,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/the-new-guy-and-other-senior-year-distractions_266/index.html
"The Land of 10,000 Madonnas",['Kate Hattemer'],Â£29.64,In stock,Four,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/the-land-of-10000-madonnas_258/index.html
Scarlet (The Lunar Chronicles #2),['Marissa Meyer'],Â£14.57,In stock,Four,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/index.html
Legend (Legend #1),['Chris Herraiz'],Â£43.69,In stock,Four,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/legend-legend-1_184/index.html
Lady Renegades (Rebel Belle #3),['Rachel Hawkins'],Â£53.04,In stock,Five,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/lady-renegades-rebel-belle-3_181/index.html
Golden (Heart of Dread #3),['Julia Starling'],Â£42.21,In stock,Four,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/golden-heart-of-dread-3_161/index.html
Cinder (The Lunar Chronicles #1),['Marissa Meyer'],Â£26.09,In stock,One,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/cinder-the-lunar-chronicles-1_139/index.html
Boy Meets Boy,['David Levithan'],Â£21.12,In stock,Three,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/boy-meets-boy_134/index.html
Annie on My Mind,['Nancy Garden'],Â£36.83,In stock,Five,Young Adult,In stock (3 available),https://books.toscrape.com/catalogue/annie-on-my-mind_120/index.html
New Moon (Twilight #2),"['Radmila Topalovic', 'Storm Dunlop', 'Wil Tirion', 'Royal Observatory Greenwich', 'Collins Astronomy']",Â£12.86,In stock,Four,Young Adult,In stock (2 available),https://books.toscrape.com/catalogue/new-moon-twilight-2_105/index.html
Girl Online On Tour (Girl Online #2),['Zoe Sugg'],Â£53.47,In stock,One,Young Adult,In stock (2 available),https://books.toscrape.com/catalogue/girl-online-on-tour-girl-online-2_101/index.html
The Haters,['Jesse Andrews'],Â£27.89,In stock,Five,Young Adult,In stock (1 available),https://books.toscrape.com/catalogue/the-haters_67/index.html
The Art of Not Breathing,['Sarah Alexander'],Â£40.83,In stock,Four,Young Adult,In stock (1 available),https://books.toscrape.com/catalogue/the-art-of-not-breathing_58/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,['Tim Birkhead'],Â£42.96,In stock,Four,Science,In stock (16 available),https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,['Luba Vikhanski'],Â£57.36,In stock,Five,Science,In stock (16 available),https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,"['Richard Evershed', 'Nicola Temple']",Â£44.74,In stock,Four,Science,In stock (14 available),https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
Tipping Point for Planet Earth: How Close Are We to the Edge?,"['Anthony D. Barnosky', 'Elizabeth A. Hadly']",Â£37.55,In stock,One,Science,In stock (12 available),https://books.toscrape.com/catalogue/tipping-point-for-planet-earth-how-close-are-we-to-the-edge_643/index.html
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",['Brian Greene'],Â£55.91,In stock,One,Science,In stock (9 available),https://books.toscrape.com/catalogue/the-fabric-of-the-cosmos-space-time-and-the-texture-of-reality_572/index.html
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,['Sharman Apt Russell'],Â£28.41,In stock,One,Science,In stock (8 available),https://books.toscrape.com/catalogue/diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517/index.html
The Origin of Species,['Charles Darwin'],Â£10.01,In stock,Four,Science,In stock (7 available),https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html
The Grand Design,"['Stephen Hawking', 'Leonard Mlodinow']",Â£13.76,In stock,Three,Science,In stock (5 available),https://books.toscrape.com/catalogue/the-grand-design_405/index.html
Peak: Secrets from the New Science of Expertise,"['Anders Ericsson', 'Robert Pool']",Â£16.28,In stock,Two,Science,In stock (5 available),https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",['Brian Greene'],Â£13.03,In stock,Four,Science,In stock (3 available),https://books.toscrape.com/catalogue/the-elegant-universe-superstrings-hidden-dimensions-and-the-quest-for-the-ultimate-theory_245/index.html
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",['Sam Kean'],Â£57.35,In stock,Five,Science,In stock (3 available),https://books.toscrape.com/catalogue/the-disappearing-spoon-and-other-true-tales-of-madness-love-and-the-history-of-the-world-from-the-periodic-table-of-the-elements_244/index.html
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",['Richard P Feynman'],Â£25.83,In stock,Two,Science,In stock (3 available),https://books.toscrape.com/catalogue/surely-youre-joking-mr-feynman-adventures-of-a-curious-character_227/index.html
Seven Brief Lessons on Physics,['Carlo Rovelli'],Â£30.60,In stock,Four,Science,In stock (3 available),https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html
The Selfish Gene,['Richard Dawkins'],Â£29.45,In stock,One,Science,In stock (1 available),https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html
A Light in the Attic,['Marie Gibson'],Â£51.77,In stock,Three,Poetry,In stock (22 available),https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Black Maria,['Henry William Herbert'],Â£52.15,In stock,One,Poetry,In stock (19 available),https://books.toscrape.com/catalogue/the-black-maria_991/index.html
Shakespeare's Sonnets,['Jonathan F. S. Post'],Â£20.66,In stock,Four,Poetry,In stock (19 available),https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Olio,['E. F. (Edmund Francis) Burton'],Â£23.88,In stock,One,Poetry,In stock (19 available),https://books.toscrape.com/catalogue/olio_984/index.html
You can't bury them all: Poems,['Patrick Woodcock'],Â£33.63,In stock,Two,Poetry,In stock (17 available),https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,['Ashley-Elizabeth Best'],Â£57.31,In stock,Three,Poetry,In stock (17 available),https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Untitled Collection: Sabbath Poems 2014,['Latonya Binky Toran'],Â£14.27,In stock,Four,Poetry,In stock (16 available),https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
Poems That Make Grown Women Cry,"['Anthony Holden', 'Ben Holden']",Â£14.19,In stock,Four,Poetry,In stock (15 available),https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
Night Sky with Exit Wounds,['Ocean Vuong'],Â£41.05,In stock,One,Poetry,In stock (15 available),https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html
salt.,['Ruta Sepetys'],Â£46.78,In stock,Four,Poetry,In stock (14 available),https://books.toscrape.com/catalogue/salt_731/index.html
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",['Samantha Jayne'],Â£50.89,In stock,Five,Poetry,In stock (14 available),https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
Out of Print: City Lights Spotlight No. 14,['Shelley Fisher Fishkin'],Â£53.64,In stock,Five,Poetry,In stock (8 available),https://books.toscrape.com/catalogue/out-of-print-city-lights-spotlight-no-14_536/index.html
Les Fleurs du Mal,['Charles Baudelaire'],Â£29.04,In stock,Five,Poetry,In stock (8 available),https://books.toscrape.com/catalogue/les-fleurs-du-mal_530/index.html
Howl and Other Poems,['Allen Ginsberg'],Â£40.45,In stock,Two,Poetry,In stock (8 available),https://books.toscrape.com/catalogue/howl-and-other-poems_522/index.html
Leave This Song Behind: Teen Poetry at Its Best,"['Adam Halwitz', 'John Meyer', 'Stephanie Meyer']",Â£51.17,In stock,Five,Poetry,In stock (7 available),https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),['William Butler Yeats'],Â£15.42,In stock,Five,Poetry,In stock (6 available),https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
The Crossover,['Kwame Alexander'],Â£38.77,In stock,Four,Poetry,In stock (5 available),https://books.toscrape.com/catalogue/the-crossover_398/index.html
Booked,['Kwame Alexander'],Â£17.49,In stock,Five,Poetry,In stock (5 available),https://books.toscrape.com/catalogue/booked_365/index.html
Twenty Love Poems and a Song of Despair,['Pablo Neruda'],Â£30.95,In stock,Four,Poetry,In stock (1 available),https://books.toscrape.com/catalogue/twenty-love-poems-and-a-song-of-despair_91/index.html
"Vampire Knight, Vol. 1 (Vampire Knight #1)",['Matsuri Hino'],Â£15.40,In stock,One,Paranormal,In stock (1 available),https://books.toscrape.com/catalogue/vampire-knight-vol-1-vampire-knight-1_93/index.html
Wall and Piece,[],Â£44.18,In stock,Four,Art,In stock (18 available),https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
Feathers: Displays of Brilliant Plumage,['Robert Clark'],Â£49.05,In stock,Three,Art,In stock (14 available),https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,"['David Bayles', 'Ted Orland']",Â£48.63,In stock,Four,Art,In stock (9 available),https://books.toscrape.com/catalogue/art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559/index.html
The New Drawing on the Right Side of the Brain,['Adolphe Jullien'],Â£43.02,In stock,Three,Art,In stock (8 available),https://books.toscrape.com/catalogue/the-new-drawing-on-the-right-side-of-the-brain_550/index.html
History of Beauty,['Gabriela Hernandez'],Â£10.29,In stock,Four,Art,In stock (8 available),https://books.toscrape.com/catalogue/history-of-beauty_521/index.html
The Story of Art,['Ernst Hans Gombrich'],Â£41.14,In stock,Four,Art,In stock (7 available),https://books.toscrape.com/catalogue/the-story-of-art_500/index.html
The Art Book,"['Lee Beard', 'Adam Butler', 'Claire Van Cleave', 'Diane Fortenberry', 'Susan Stirling']",Â£32.34,In stock,Two,Art,In stock (7 available),https://books.toscrape.com/catalogue/the-art-book_490/index.html
Ways of Seeing,['John Berger'],Â£39.51,In stock,Five,Art,In stock (1 available),https://books.toscrape.com/catalogue/ways-of-seeing_94/index.html
The Lucifer Effect: Understanding How Good People Turn Evil,['Philip Zimbardo'],Â£10.40,In stock,One,Psychology,In stock (14 available),https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html
The Golden Condom: And Other Essays on Love Lost and Found,['Jeanne Safer'],Â£39.43,In stock,One,Psychology,In stock (12 available),https://books.toscrape.com/catalogue/the-golden-condom-and-other-essays-on-love-lost-and-found_637/index.html
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,['Mark Wolynn'],Â£56.27,In stock,Three,Psychology,In stock (11 available),https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html
An Unquiet Mind: A Memoir of Moods and Madness,['Kay Redfield Jamison'],Â£21.30,In stock,Three,Psychology,In stock (6 available),https://books.toscrape.com/catalogue/an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html
"Thinking, Fast and Slow",['Daniel Kahneman'],Â£21.14,In stock,One,Psychology,In stock (3 available),https://books.toscrape.com/catalogue/thinking-fast-and-slow_289/index.html
Civilization and Its Discontents,['Sigmund Freud'],Â£59.95,In stock,Two,Psychology,In stock (3 available),https://books.toscrape.com/catalogue/civilization-and-its-discontents_140/index.html
8 Keys to Mental Health Through Exercise,['Christina Hibbert'],Â£31.04,In stock,One,Psychology,In stock (3 available),https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html
The Argonauts,['Apollonius of Rhodes'],Â£10.93,In stock,Two,Autobiography,In stock (15 available),https://books.toscrape.com/catalogue/the-argonauts_837/index.html
M Train,['Patti Smith'],Â£27.18,In stock,One,Autobiography,In stock (11 available),https://books.toscrape.com/catalogue/m-train_598/index.html
Lab Girl,['Hope Jahren'],Â£40.85,In stock,One,Autobiography,In stock (11 available),https://books.toscrape.com/catalogue/lab-girl_595/index.html
Approval Junkie: Adventures in Caring Too Much,['United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Health and the Environment'],Â£58.81,In stock,Five,Autobiography,In stock (5 available),https://books.toscrape.com/catalogue/approval-junkie-adventures-in-caring-too-much_363/index.html
Running with Scissors,['Augusten Burroughs'],Â£12.91,In stock,Four,Autobiography,In stock (3 available),https://books.toscrape.com/catalogue/running-with-scissors_215/index.html
Me Talk Pretty One Day,['David Sedaris'],Â£57.60,In stock,Two,Autobiography,In stock (3 available),https://books.toscrape.com/catalogue/me-talk-pretty-one-day_193/index.html
Lust & Wonder,['Reiner Bölhoff'],Â£11.87,In stock,Two,Autobiography,In stock (3 available),https://books.toscrape.com/catalogue/lust-wonder_191/index.html
Life Without a Recipe,['Diana Abu-Jaber'],Â£59.04,In stock,Five,Autobiography,In stock (3 available),https://books.toscrape.com/catalogue/life-without-a-recipe_188/index.html
A Heartbreaking Work of Staggering Genius,['Dave Eggers'],Â£54.29,In stock,Five,Autobiography,In stock (3 available),https://books.toscrape.com/catalogue/a-heartbreaking-work-of-staggering-genius_115/index.html
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,['Catherine Newman'],Â£37.35,In stock,Two,Parenting,In stock (3 available),https://books.toscrape.com/catalogue/catastrophic-happiness-finding-joy-in-childhoods-messy-years_138/index.html
Fifty Shades Freed (Fifty Shades #3),"['EL. James', 'Andini Citra']",Â£15.36,In stock,Five,Adult Fiction,In stock (3 available),https://books.toscrape.com/catalogue/fifty-shades-freed-fifty-shades-3_156/index.html
The Long Haul (Diary of a Wimpy Kid #9),['Jeff Kinney'],Â£44.07,In stock,One,Humor,In stock (14 available),https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html
Old School (Diary of a Wimpy Kid #10),['Jeff Kinney'],Â£11.83,In stock,Five,Humor,In stock (14 available),https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,['Jen Kirkman'],Â£25.98,In stock,Four,Humor,In stock (14 available),https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",['Allie Brosh'],Â£14.75,In stock,Five,Humor,In stock (14 available),https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
Dress Your Family in Corduroy and Denim,['David Sedaris'],Â£43.68,In stock,Three,Humor,In stock (9 available),https://books.toscrape.com/catalogue/dress-your-family-in-corduroy-and-denim_562/index.html
Toddlers Are A**holes: It's Not Your Fault,['Bunmi Laditan'],Â£25.55,In stock,One,Humor,In stock (7 available),https://books.toscrape.com/catalogue/toddlers-are-aholes-its-not-your-fault_503/index.html
When You Are Engulfed in Flames,['David Sedaris'],Â£30.89,In stock,Five,Humor,In stock (3 available),https://books.toscrape.com/catalogue/when-you-are-engulfed-in-flames_303/index.html
Naked,['Bettyann Kevles'],Â£31.69,In stock,Three,Humor,In stock (3 available),https://books.toscrape.com/catalogue/naked_197/index.html
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",['Christopher Moore'],Â£55.50,In stock,Five,Humor,In stock (3 available),https://books.toscrape.com/catalogue/lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html
Holidays on Ice,['David Sedaris'],Â£51.07,In stock,Two,Humor,In stock (3 available),https://books.toscrape.com/catalogue/holidays-on-ice_167/index.html
Security,"['Benjamin Graham', 'David Le Fevre Dodd']",Â£39.25,In stock,Two,Horror,In stock (16 available),https://books.toscrape.com/catalogue/security_925/index.html
Follow You Home,['Cathy Woodman'],Â£21.36,In stock,One,Horror,In stock (15 available),https://books.toscrape.com/catalogue/follow-you-home_809/index.html
The Loney,['Andrew Michael Hurley'],Â£23.40,In stock,One,Horror,In stock (14 available),https://books.toscrape.com/catalogue/the-loney_756/index.html
Pet Sematary,['STEPHEN. KING'],Â£10.56,In stock,Three,Horror,In stock (14 available),https://books.toscrape.com/catalogue/pet-sematary_726/index.html
Doctor Sleep (The Shining #2),['Stephen King'],Â£40.12,In stock,Two,Horror,In stock (14 available),https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html
Psycho: Sanitarium (Psycho #1.5),"['Jimmie C. Holland', 'Talia Weiss Wiesel', 'Christian J. Nelson', 'Andrew J. Roth', 'Yesne Alici']",Â£36.97,In stock,Five,Horror,In stock (12 available),https://books.toscrape.com/catalogue/psycho-sanitarium-psycho-15_628/index.html
Can You Keep a Secret? (Fear Street Relaunch #4),['R. L. Stine'],Â£48.64,In stock,One,Horror,In stock (12 available),https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html
Red Dragon (Hannibal Lecter #1),['Thomas Harris'],Â£23.37,In stock,Three,Horror,In stock (5 available),https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html
Dracula the Un-Dead,"['Dacre Stoker', 'Ian Holt']",Â£35.63,In stock,Five,Horror,In stock (5 available),https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html
Night Shift (Night Shift #1-20),['Reena Patel'],Â£12.75,In stock,Four,Horror,In stock (4 available),https://books.toscrape.com/catalogue/night-shift-night-shift-1-20_335/index.html
Needful Things,['Stephen King'],Â£47.51,In stock,Four,Horror,In stock (4 available),https://books.toscrape.com/catalogue/needful-things_334/index.html
Misery,['Stephen King'],Â£34.79,In stock,Two,Horror,In stock (4 available),https://books.toscrape.com/catalogue/misery_332/index.html
It,['Stephen King'],Â£25.01,In stock,Three,Horror,In stock (4 available),https://books.toscrape.com/catalogue/it_330/index.html
'Salem's Lot,['Stephen King'],Â£49.56,In stock,Four,Horror,In stock (4 available),https://books.toscrape.com/catalogue/salems-lot_309/index.html
The Stand,['Stephen King'],Â£57.86,In stock,Two,Horror,In stock (3 available),https://books.toscrape.com/catalogue/the-stand_282/index.html
The Girl with All the Gifts,['M. R. Carey'],Â£49.47,In stock,Three,Horror,In stock (3 available),https://books.toscrape.com/catalogue/the-girl-with-all-the-gifts_250/index.html
House of Leaves,['Mark Z. Danielewski'],Â£54.89,In stock,One,Horror,In stock (3 available),https://books.toscrape.com/catalogue/house-of-leaves_169/index.html
Sapiens: A Brief History of Humankind,['Yuval Noah Harari'],Â£54.23,In stock,Five,History,In stock (20 available),https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",['Richard L Currier'],Â£25.52,In stock,One,History,In stock (16 available),https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,['A. C. Grayling'],Â£19.73,In stock,One,History,In stock (16 available),https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",['Erin McHugh'],Â£36.28,In stock,Two,History,In stock (16 available),https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,"['Brian Kilmeade', 'Don Yaeger']",Â£59.64,In stock,One,History,In stock (15 available),https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Zealot: The Life and Times of Jesus of Nazareth,['Reza Aslan'],Â£24.70,In stock,Three,History,In stock (14 available),https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html
A Distant Mirror: The Calamitous 14th Century,['Barbara Wertheim Tuchman'],Â£14.58,In stock,Three,History,In stock (14 available),https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
1491: New Revelations of the Americas Before Columbus,['Charles C. Mann'],Â£21.80,In stock,Three,History,In stock (14 available),https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
Brilliant Beacons: A History of the American Lighthouse,['Eric Jay Dolin'],Â£11.45,In stock,Three,History,In stock (8 available),https://books.toscrape.com/catalogue/brilliant-beacons-a-history-of-the-american-lighthouse_515/index.html
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination","['Annette Gordon-Reed', 'Peter S. Onuf']",Â£44.48,In stock,Five,History,In stock (8 available),https://books.toscrape.com/catalogue/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html
A Short History of Nearly Everything,['Bill Bryson'],Â£52.40,In stock,Five,History,In stock (7 available),https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html
The Rise and Fall of the Third Reich: A History of Nazi Germany,['William L. Shirer'],Â£39.67,In stock,Two,History,In stock (6 available),https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html
Catherine the Great: Portrait of a Woman,['Robert K. Massie'],Â£58.55,In stock,Four,History,In stock (6 available),https://books.toscrape.com/catalogue/catherine-the-great-portrait-of-a-woman_424/index.html
